Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
SYDNEY,2016,12,1162146,1165002,681661,787236
TOWNSVILLE,2016,12,61979,66646,1746,2087
ADELAIDE,2017,1,292441,295396,51344,42933
BRISBANE,2017,1,679191,700014,280306,243488
CAIRNS,2017,1,179655,190233,31070,29762
CANBERRA,2017,1,101509,90217,4665,3403
DARWIN,2017,1,72297,60709,17466,11510
GOLD COAST,2017,1,249932,269342,57691,46200
HAMILTON ISLAND,2017,1,26590,29087,0,0
HOBART,2017,1,118191,132076,0,0
LAUNCESTON,2017,1,67589,75597,0,0
MACKAY,2017,1,28407,27492,0,0
MELBOURNE,2017,1,1090953,1037134,523394,456706
NEWCASTLE,2017,1,54287,54089,0,0
PERTH,2017,1,337758,352883,239999,196653
SYDNEY,2017,1,1127330,1128197,835438,724531
TOWNSVILLE,2017,1,57767,53413,2224,1623
ADELAIDE,2017,2,265665,258284,37838,30773
BRISBANE,2017,2,603110,607321,217270,195290
CAIRNS,2017,2,136709,142652,24322,24762
CANBERRA,2017,2,114565,110886,3255,2652
DARWIN,2017,2,52881,53877,10799,7972
GOLD COAST,2017,2,190703,196827,42614,36458
HAMILTON ISLAND,2017,2,19690,20718,0,0
HOBART,2017,2,103325,102059,0,0
LAUNCESTON,2017,2,57412,56874,0,0
MACKAY,2017,2,26775,27417,0,0
MELBOURNE,2017,2,936529,925300,424162,354176
NEWCASTLE,2017,2,44928,44996,0,0
PERTH,2017,2,281671,288163,181235,146779
SYDNEY,2017,2,1029813,1028231,655651,570218
TOWNSVILLE,2017,2,48518,48312,1677,1594
